Brandenburg Berlin Baden-Württemberg Bayern Bremen Hessen Hamburg Mecklenburg-Vorpommern Niedersachsen Nordrhein-Westfalen Rheinland-Pfalz Saarland Schleswig-Holstein Sachsen Thüringen Sachsen-Anhalt    0
4.3. 1 7 50 48 3 12 3 4 7 115 7 1 2 1 1     262
5.3. 1 13 73 70 3 14 5 4 18 181 8 1 7 1 1     400
6.3. 2 19 96 117 4 16 11 5 18 329 10 2 7 2 1     639
7.3. 2 28 170 134 4 17 13 5 19 373 13 3 8 4 2     795
8.3. 4 40 182 172 4 19 13 8 21 398 19 9 7 4 2     902
9.3. 6 48 204 256 4 26 17 10 38 484 17 6 9 12 2     1139
10.3. 9 48 237 314 4 35 29 13 49 484 25 7 9 22 4 7    1296
11.3. 24 90 277 366 21 48 48 17 75 484 25 14 27 26 10 15    1567
12.3. 30 137 454 500 38 99 88 23 129 688 52 14 31 45 14 27    2369
14.3. 61 216 569 681 50 203 158 45 253 1154 121 40 60 93 46 45    3795
15.3. 84 265 827 886 53 286 162 50 287 1407 168 32 103 130 51 47    4838
16.3. 94 300 1105 1067 56 342 260 51 391 1541 325 85 123 140 55 77    6012
17.3. 73 345 1479 1109 57 373 310 45 325 2105 442 75 127 182 51 58    7156
18.3. 92 391 1609 1243 69 432 358 56 478 2372 474 88 159 198 74 105    8198
19.3. 134 573 2155 1692 80 682 432 98 669 3033 637 99 202 275 98 140    10999
20.3. 192 731 2746 2401 121 813 586 131 803 3497 801 146 266 394 149 180    13957
21.3. 254 866 3668 2960 142 1080 587 165 1023 3542 938 187 308 567 187 188    16662
22.3. 274 1024 3807 3650 165 1175 872 172 1306 3545 1053 187 347 606 216 211    18610
23.3. 288 1077 3811 4892 170 1347 943 172 1483 5615 1177 200 383 653 249 212    22672
24.3. 343 1220 5348 5754 183 1620 1043 199 1764 6318 1370 337 478 811 327 321    27436
25.3. 429 1428 6069 6558 200 1754 1262 218 2140 7197 1591 403 577 959 394 375    31554
26.3. 477 1656 7283 7993 211 2157 1265 244 2347 7924 1816 433 675 1141 468 418    36508
27.3. 537 1955 8161 9481 241 2323 1693 259 2810 9235 1971 505 812 1305 542 458    42288
28.3. 645 2161 9781 11150 260 2604 1765 308 3150 10607 2212 550 915 1432 584 458    48582
30.3. 761 2464 10943 13989 286 3091 2053 356 3732 12178 2584 706 1049 1795 719 592    57298
31.3. 798 2575 12334 14810 294 3283 2191 366 4063 13225 2726 782 1120 1882 784 680    61913
1.4. 881 2754 13410 16497 311 3445 2311 406 4382 14351 2899 829 1246 2034 860 750    67366
3.4. 1075 3202 16059 20237 341 3993 2596 468 5081 16606 3362 1079 1443 2336 982 836    79696
4.4. 1211 3471 17014 21908 354 4279 2697 501 5571 17885 3504 1265 1559 2591 1072 896    85778
5.4. 1305 3613 18614 23846 394 4575 2945 523 5712 18735 3663 1358 1631 2741 1140 919    91714
6.4. 1345 3670 19395 24974 397 4674 2993 528 5960 19384 3882 1483 1671 2903 1176 956    95391
7.4. 1384 3845 20141 26163 399 4837 3059 531 6200 20220 3992 1532 1730 2997 1208 987    99225
8.4. 1472 4028 20680 27564 424 4965 3165 555 6385 20929 4148 1637 1827 3144 1285 1020    103228
9.4. 1578 4202 21603 28827 445 5242 3320 572 6804 21961 4336 1693 1932 3261 1351 1075    108202
10.4. 1691 4349 22433 30363 454 5694 3551 586 7114 23028 4440 1854 2029 3402 1416 1121    113525
11.4. 1764 4458 23617 31453 469 5808 3663 601 7343 23644 4622 2016 2065 3565 1435 1135    117658
12.4. 1857 4567 24078 32282 480 5859 3742 605 7602 24267 4734 2058 2118 3600 1464 1166    120479
13.4. 1880 4601 24570 33015 486 6114 3770 618 7723 24883 4810 2079 2134 3655 1485 1193    123016
14.4. 1916 4668 25040 33569 492 6183 3808 619 7885 25300 4880 2112 2164 3751  1207    123594
15.4. 1950 4722 25438 34294 500 6347 3869 624 8019 25835 5004 2145 2245 3819 1550 1223    127584
16.4. 2058 4848 25881 35142 507 6470 3953 634 8188 26383 5087 2201 2294 3955 1601 1248    130450
17.4. 2120 4945 26543 36027 556 6705 4005 634 8442 27030 5211 2254 2349 4048 1682 1279    133830
18.4. 2161 5066 27258 36881 567 6916 4118 645 8649 28006 5324 2289 2387 4140 1717 1315    137439
19.4. 2221 5159 27883 37407 585 7108 4167 651 8797 28471 5432 2303 2417 4190 1756 1350    139897
20.4. 2238 5196 28253 37849 604 7177 4185 653 8900 28971 5523 2314 2426 4229 1785 1369    141672
21.4. 2275 5237 28712 38310 609 7231 4204 655 9098 29389 5561 2328 2414 4253 1798 1383    143457
22.4. 2389 5312 28898 38814 624 7380 4204 656 9236 30185 5593 2367 2496 4273 1872 1395    145694
23.4. 2447 5324 29443 39395 672 7593 4286 659 9391 30584 5643 2395 2530 4327 1932 1425    148046
24.4. 2536 5459 29792 39939 707 7712 4358 661 9544 31106 5731 2445 2557 4377 2023 1436    150383
25.4. 2627 5525 30169 40547 719 7837 4400 667 9691 31465 5767 2468 2612 4406 2058 1480    152438
26.4. 2694 5600 30761 40912 739 7946 4429 673 9785 31669 5835 2482 2630 4428  1494    152077
28.4. 2747 5669 31196 41406 759 8026 4505  9926 32184 5928 2509 2653 4490 2144 1520    155662
